FACILITY,ADDRESS,CITY,STATE,ZIP,CREDENTIALID,LAWENFORCEMENT,New Georeferenced Column
NEW BRITAIN POLICE DEPARTMENT,10 CHESTNUT ST,NEW BRITAIN,CT,06051-2654,1349023,true,POINT (-72.78093 41.6658)
WATERBURY POLICE DEPARTMENT,255 E MAIN ST,WATERBURY,CT,06702-2301,1143916,true,POINT (-73.03629 41.55461)
ANSONIA POLICE DEPARTMENT,65 Main Street,ANSONIA,CT,06401-3310,1075890,true,POINT (-73.07959 41.345408)
SOUTH WINDSOR POLICE DEPARTMENT,151 SAND HILL RD,SOUTH WINDSOR,CT,06074-2026,1157538,true,POINT (-72.55222 41.83585)
BRISTOL POLICE DEPARTMENT,131 N MAIN ST,BRISTOL,CT,06010-8123,1424496,true,POINT (-72.946121 41.674226)
CLINTON POLICE DEPARTMENT,170 E MAIN ST,CLINTON,CT,06413-2116,1244132,true,POINT (-72.51187 41.27571)
LEDYARD POLICE DEPARTMENT,737 Colonel Ledyard Highway,LEDYARD,CT,06339,1187123,true,POINT (-72.01699 41.44206)
DESPP DIVISION OF STATE POLICE TROOP L,452 BANTAM RD # A,LITCHFIELD,CT,06759-3201,1343032,true,POINT (-73.21577 41.73524)
CVS PHARMACY #377,915 POQUONNOCK RD,GROTON,CT,06340-4257,2154038,false,POINT (-72.051098 41.346666)
DESPP DIVISION OF STATE POLICE TROOP F,315 SPENCER PLAINS RD,WESTBROOK,CT,06498-3509,1342890,true,POINT (-72.42973 41.29262)
CVS PHARMACY #4149,54 E HIGH ST,EAST HAMPTON,CT,06424-1052,2154027,false,POINT (-72.49727 41.58491)
GUILFORD POLICE DEPARTMENT,400 CHURCH ST,GUILFORD,CT,06437-2004,1145078,true,POINT (-72.68891 41.29744)
CVS PHARMACY #1027,372 W MAIN ST,NORWICH,CT,06360-5421,1676978,false,POINT (-72.09176 41.52125)
WINDSOR POLICE DEPARTMENT,110 ADDISON RD,WINDSOR,CT,06095-2171,1467498,true,POINT (-72.67342 41.87075)
