,FACILITY,ADDRESS,CITY,STATE,ZIP,CREDENTIALID,LAWENFORCEMENT,New Georeferenced Column,ZIP GROUP
0,NEW BRITAIN POLICE DEPARTMENT,10 CHESTNUT ST,NEW BRITAIN,CT,6051,1349023,True,POINT (-72.78093 41.6658),6000
1,WATERBURY POLICE DEPARTMENT,255 E MAIN ST,WATERBURY,CT,6702,1143916,True,POINT (-73.03629 41.55461),6700
2,ANSONIA POLICE DEPARTMENT,65 MAIN STREET,ANSONIA,CT,6401,1075890,True,POINT (-73.07959 41.345408),6400
3,SOUTH WINDSOR POLICE DEPARTMENT,151 SAND HILL RD,SOUTH WINDSOR,CT,6074,1157538,True,POINT (-72.55222 41.83585),6000
4,BRISTOL POLICE DEPARTMENT,131 N MAIN ST,BRISTOL,CT,6010,1424496,True,POINT (-72.946121 41.674226),6000
5,CLINTON POLICE DEPARTMENT,170 E MAIN ST,CLINTON,CT,6413,1244132,True,POINT (-72.51187 41.27571),6400
6,LEDYARD POLICE DEPARTMENT,737 COLONEL LEDYARD HIGHWAY,LEDYARD,CT,6339,1187123,True,POINT (-72.01699 41.44206),6300
7,DESPP DIVISION OF STATE POLICE TROOP L,452 BANTAM RD # A,LITCHFIELD,CT,6759,1343032,True,POINT (-73.21577 41.73524),6700
8,CVS PHARMACY #377,915 POQUONNOCK RD,GROTON,CT,6340,2154038,False,POINT (-72.051098 41.346666),6300
9,DESPP DIVISION OF STATE POLICE TROOP F,315 SPENCER PLAINS RD,WESTBROOK,CT,6498,1342890,True,POINT (-72.42973 41.29262),6400
10,CVS PHARMACY #4149,54 E HIGH ST,EAST HAMPTON,CT,6424,2154027,False,POINT (-72.49727 41.58491),6400
11,GUILFORD POLICE DEPARTMENT,400 CHURCH ST,GUILFORD,CT,6437,1145078,True,POINT (-72.68891 41.29744),6400
12,CVS PHARMACY #1027,372 W MAIN ST,NORWICH,CT,6360,1676978,False,POINT (-72.09176 41.52125),6300
13,WINDSOR POLICE DEPARTMENT,110 ADDISON RD,WINDSOR,CT,6095,1467498,True,POINT (-72.67342 41.87075),6000
14,CVS PHARMACY #2572,1 HAWLEY LN,STRATFORD,CT,6614,1676981,False,POINT (-73.15428 41.23052),6600
15,ELLINGTON POLICE DEPARTMENT,33 ARBOR WAY,ELLINGTON,CT,6029,1345706,True,POINT (-72.46352 41.90305),6000
16,STRATFORD POLICE,900 LONGBROOK AVE,STRATFORD,CT,6614,1184244,True,POINT (-73.12847 41.2019),6600
17,MADISON POLICE DEPARTMENT,9 CAMPUS DR,MADISON,CT,6443,1268362,True,POINT (-72.5762 41.29573),6400
18,OXFORD RESIDENT TROOPERS OFFICE,429 OXFORD RD,OXFORD,CT,6478,1452041,True,POINT (-73.11674 41.43445),6400
19,CVS PHARMACY #942,542 PROVIDENCE RD,BROOKLYN,CT,6234,2154036,False,POINT (-71.903428 41.79872),6200
20,WESTPORT POLICE DEPARTMENT,50 JESUP RD,WESTPORT,CT,6880,1210344,True,POINT (-73.35998 41.1402),6800
21,SCSU POLICE DEPARTMENT,510 CRESCENT STREET,NEW HAVEN,CT,6515,2323111,True,POINT (-72.947716 41.330962),6500
22,MERIDEN POLICE DEPARTMENT,50 WEST MAIN ST,MERIDEN,CT,6451,1231342,True,POINT (-72.80429 41.53823),6400
23,WESTON POLICE DEPARTMENT,56 NORFIELD ROAD,WESTON,CT,6883,1508431,True,POINT (-73.37857 41.20158),6800
24,SOUTHINGTON POLICE DEPARTMENT,69 LAZY LN,SOUTHINGTON,CT,6489,1078015,True,POINT (-72.87585 41.62155),6400
25,BEACON PRESCRIPTIONS,57 SOUTH ST,BRISTOL,CT,6010,2195437,False,POINT (-72.94625 41.66842),6000
26,NORTH HAVEN POLICE DEPARTMENT,8 LINSLEY ST,NORTH HAVEN,CT,6473,1599071,True,POINT (-72.86198 41.38712),6400
27,BROOKFIELD POLICE DEPARTMENT,63 SILVERMINE RD,BROOKFIELD,CT,6804,1131779,True,POINT (-73.40272 41.46788),6800
28,MASHANTUCKET PEQUOT TRIBAL POLICE DEPARTMENT,101 PEQUOT TRL,MASHANTUCKET,CT,6338,1332185,True,POINT (-71.95637 41.46609),6300
29,SHELTON POLICE DEPARTMENT (K9 UNIT),85 WHEELER ST,SHELTON,CT,6484,1051847,True,POINT (-73.10968 41.3223),6400
30,WATERFORD POLICE DEPARTMENT,41 AVERY LN,WATERFORD,CT,6385,1043428,True,POINT (-72.13724 41.34452),6300
31,CVS PHARMACY #865,839 E MAIN ST,MERIDEN,CT,6450,1676975,False,POINT (-72.77501 41.52774),6400
32,DESPP DIVISION OF STATE POLICE TROOP G,149 PROSPECT ST,BRIDGEPORT,CT,6604,1342902,True,POINT (-73.19133 41.17279),6600
33,NEW CANAAN POLICE DEPARTMENT,174 SOUTH AVE,NEW CANAAN,CT,6840,1036989,True,POINT (-73.49064 41.14101),6800
34,CVS PHARMACY #288,839 FARMINGTON AVE,BRISTOL,CT,6010,1676969,False,POINT (-72.91535 41.69318),6000
35,DESPP DIVISION OF STATE POLICE TROOP B,463B ASHLEY FALLS ROAD,NORTH CANAAN,CT,6018,1342876,True,POINT (-73.3255 42.04256),6000
